абдикувати | абдикую | абдикував
залічувати | залічую | залічував
залляти | заллю | залляв
заловити | заловлю | заловив
заловлювати | заловлюю | заловлював
заломити | заломлю | заломив
заломлювати | заломлюю | заломлював
заломляти | заломляю | заломляв
залопотати | залопочу | залопотав
залопотіти | залопочу | залопотів
залоскотати | залоскочу | залоскотав
залоскочувати | залоскочую | залоскочував
залощити | залощу | залощив
залощувати | залощую | залощував
залудити | залуджу | залудив
залужити | залужу | залужив
залужувати | залужую | залужував
залузати | залузаю | залузав
залунати | залунаю | залунав
залупати | залупаю | залупав
залупити | залуплю | залупив
залуплювати | залуплюю | залуплював
залускати | залускаю | залускав
залускотіти | залускочу | залускотів
залучати | залучаю | залучав
залучити | залучу | залучив
залучувати | залучую | залучував
зальопати | зальопаю | зальопав
зальопувати | зальопую | зальопував
залюбити | залюблю | залюбив
залюблювати | залюблюю | залюблював
залюбляти | залюбляю | залюбляв
залюднити | залюдню | залюднив
залюдніти | залюднію | залюднів
залюднювати | залюднюю | залюднював
залюдняти | залюдняю | залюдняв
залюляти | залюляю | залюляв
залютовувати | залютовую | залютовував
залютувати | залютую | залютував
залягати | залягаю | залягав
залягти | заляжу | заліг
залякати | залякаю | залякав
залякувати | залякую | залякував
заляпати | заляпаю | заляпав
заляпотіти | заляпочу | заляпотів
заляпувати | заляпую | заляпував
заляскати | заляскаю | заляскав
заляскотати | заляскочу | заляскотав
заляскотіти | заляскочу | заляскотів
залящати | залящу | залящав
замазати | замажу | замазав
замазувати | замазую | замазував
замазурювати | замазурюю | замазурював
замаїти | замаю | замаїв
замайоріти | замайорю | замайорів
замакітрити | замакітрю | замакітрив
замакітрювати | замакітрюю | замакітрював
замальовувати | замальовую | замальовував
замалювати | замалюю | замалював
заманити | заманю | заманив
заманіфестувати | заманіфестую | заманіфестував
заманювати | заманюю | заманював
замариновувати | замариновую | замариновував
замаринувати | замариную | замаринував
замарити | замарю | замарив
замаркувати | замаркую | замаркував
замарудити | замаруджу | замарудив
замаршувати | замаршую | замаршував
замасковувати | замасковую | замасковував
замаскувати | замаскую | замаскував
замаслити | замаслю | замаслив
замаслювати | замаслюю | замаслював
замасніти | замаснію | замаснів
замаснювати | замаснюю | замаснював
замастити | замащу | замастив
замахати | замахаю | замахав
замахнути | замахну | замахнув
замахорити | замахорю | замахорив
замахувати | замахую | замахував
замацати | замацаю | замацав
замацувати | замацую | замацував
замащувати | замащую | замащував
замаювати | замаюю | замаював
замаякувати | замаякую | замаякував
замаяти | замаю | замаяв
замаячіти | замаячію | замаячів
замекати | замекаю | замекав
замекекати | замекекаю | замекекав
замельдувати | замельдую | замельдував
замелькати | замелькаю | замелькав
замережати | замережаю | замережав
замережити | замережу | замережив
замерехтіти | замерехчу | замерехтів
замерзати | замерзаю | замерзав
замерзнути | замерзну | замерзнув
замерзти | замерзну | замерз
замертвіти | замертвію | замертвів
замерти | замру | замер
замести | замету | замів
заметляти | заметляю | заметляв
заметувати | заметую | заметував
замечувати | замечую | замечував
замешкати | замешкаю | замешкав
замжичити | - | замжичив
замивати | замиваю | замивав
замигати | замигаю | замигав
замиготіти | замигочу | замиготів
замигтіти | замигчу | замигтів
замикати | замикаю | замикав
замилити | замилю | замилив
замилувати | замилую | замилував
замилювати | замилюю | замилював
замимрити | замимрю | замимрив
заминати | заминаю | заминав
замирати | замираю | замирав
замирити | замирю | замирив
замироточити | замироточу | замироточив
замиршавіти | замиршавію | замиршавів
замирювати | замирюю | замирював
замиряти | замиряю | замиряв
замислити | замислю | замислив
замислювати | замислюю | замислював
замити | замию | замив
замишляти | замишляю | замишляв
заміксувати | заміксую | заміксував
замінити | заміню | замінив
заміновувати | заміновую | заміновував
замінувати | заміную | замінував
замінювати | замінюю | замінював
заміняти | заміняю | заміняв
замірити | замірю | замірив
замірювати | замірюю | замірював
заміряти | заміряю | заміряв
замісити | замішу | замісив
замістити | заміщу | замістив
замітати | замітаю | замітав
заміфологізувати | заміфологізую | заміфологізував
замішати | замішаю | замішав
замішувати | замішую | замішував
заміщати | заміщаю | заміщав
заміщувати | заміщую | заміщував
замкнути | замкну | замкнув
замлівати | замліваю | замлівав
замліти | замлію | замлів
замлоїти | - | -
замовити | замовлю | замовив
замовкати | замовкаю | замовкав
замовкнути | замовкну | замовк
замовкти | замовкну | замовк
замовляти | замовляю | замовляв
замовчувати | замовчую | замовчував
заможніти | заможнію | заможнів
замозолити | замозолю | замозолив
замозолювати | замозолюю | замозолював
замокати | замокаю | замокав
замокнути | замокну | замокнув
замокріти | замокрію | замокрів
замокти | замокну | замок
замолити | замолю | замолив
замолодіти | замолодію | замолодів
замолоти | замелю | замолов
замолотити | замолочу | замолотив
замолочувати | замолочую | замолочував
замолювати | замолюю | замолював
замонополізувати | замонополізую | замонополізував
замонтовувати | замонтовую | замонтовував
замонтувати | замонтую | замонтував
заморгати | заморгаю | заморгав
замордовувати | замордовую | замордовував
замордувати | замордую | замордував
заморити | заморю | заморив
заморожувати | заморожую | заморожував
заморозити | заморожу | заморозив
заморочити | заморочу | заморочив
заморочувати | заморочую | заморочував
замортизувати | замортизую | замортизував
заморювати | заморюю | заморював
замостити | замощу | замостив
замотати | замотаю | замотав
замотивувати | замотивую | замотивував
замотувати | замотую | замотував
замочити | замочу | замочив
замочувати | замочую | замочував
замощувати | замощую | замощував
замріти | - | замрів
замріяти | замрію | замріяв
замружити | замружу | замружив
замружувати | замружую | замружував
замрячити | замрячу | замрячив
замугикати | замугикаю | замугикав
замудрувати | замудрую | замудрував
замукати | замукаю | замукав
замулити | замулю | замулив
замуліти | замулію | замулів
замульчувати | замульчую | замульчував
замулювати | замулюю | замулював
замуляти | замуляю | замуляв
замурзати | замурзаю | замурзав
замурзувати | замурзую | замурзував
замуркати | замуркаю | замуркав
замуркотати | замуркочу | замуркотав
замуркотіти | замуркочу | замуркотів
замурмотати | замурмочу | замурмотав
замурмотіти | замурмочу | замурмотів
замуровувати | замуровую | замуровував
замурувати | замурую | замурував
замурчати | замурчу | замурчав
замутити | замучу | замутив
замутніти | замутнію | замутнів
замучити | замучу | замучив
замучувати | замучую | замучував
замшіти | замшію | замшів
зам'яти | замну | зам'яв
занаджувати | занаджую | занаджував
заналізувати | заналізую | заналізував
занапастити | занапащу | занапастив
занапащати | занапащаю | занапащав
занапащувати | занапащую | занапащував
заневидніти | - | -
заневолити | заневолю | заневолив
заневолювати | заневолюю | заневолював
занедбати | занедбаю | занедбав
занедбувати | занедбую | занедбував
занедужати | занедужаю | занедужав
занедужувати | занедужую | занедужував
занемогти | занеможу | занеміг
занепадати | занепадаю | занепадав
занепасти | занепаду | занепав
занепокоїти | занепокою | занепокоїв
занепокоювати | занепокоюю | занепокоював
занервувати | занервую | занервував
занести | занесу | заніс
занехаювати | занехаюю | занехаював
занехаяти | занехаю | занехаяв
занечистити | занечищу | занечистив
занечищувати | занечищую | занечищував
занивати | заниваю | занивав
занидіти | занидію | занидів
занижувати | занижую | занижував
занизати | занижу | занизав
занизити | занижу | занизив
занизувати | занизую | занизував
заникати | заникаю | заникав
заникнути | заникну | заникнув
занити | занию | занив
занишкнути | занишкну | занишкнув
занишпорити | занишпорю | занишпорив
занігілювати | занігілюю | занігілював
занікчемніти | занікчемнію | занікчемнів
заніміти | занімію | занімів
заносити | заношу | заносив
занотовувати | занотовую | занотовував
занотувати | занотую | занотував
заночовувати | заночовую | заночовував
заночувати | заночую | заночував
заношувати | заношую | заношував
занудити | зануджу | занудив
занудьгувати | занудьгую | занудьгував
занулити | занулю | занулив
занулювати | занулюю | занулював
зануляти | зануляю | зануляв
занумеровувати | занумеровую | занумеровував
занумерувати | занумерую | занумерував
занурити | занурю | занурив
зануртувати | зануртую | зануртував
занурювати | занурюю | занурював
зануряти | зануряю | зануряв
занютовувати | занютовую | занютовував
занютувати | занютую | занютував
занюхати | занюхаю | занюхав
занюхувати | занюхую | занюхував
занявкати | занявкаю | занявкав
занявчати | занявчу | занявчав
заойкати | заойкаю | заойкав
заокруглити | заокруглю | заокруглив
заокруглювати | заокруглюю | заокруглював
заокругляти | заокругляю | заокругляв
заокулірувати | заокулірую | заокулірував
заорати | заорю | заорав
заорганізувати | заорганізую | заорганізував
заорендовувати | заорендовую | заорендовував
заорендувати | заорендую | заорендував
заорювати | заорюю | заорював
заохати | заохаю | заохав
заохкати | заохкаю | заохкав
заохотити | заохочу | заохотив
заохочувати | заохочую | заохочував
заощаджувати | заощаджую | заощаджував
заощадити | заощаджу | заощадив
запавутинити | запавутиню | запавутинив
запавутинювати | запавутинюю | запавутинював
западати | западаю | западав
запаковувати | запаковую | запаковував
запакувати | запакую | запакував
запалати | запалаю | запалав
запалахкотіти | запалахкочу | запалахкотів
запаленіти | запаленію | запаленів
запалити | запалю | запалив
запалювати | запалюю | запалював
запаморочити | запаморочу | запаморочив
запаморочувати | запаморочую | запаморочував
запам'ятати | запам'ятаю | запам'ятав
запам'ятовувати | запам'ятовую | запам'ятовував
запанікувати | запанікую | запанікував
запанірувати | запанірую | запанірував
запаніти | запанію | запанів
запановувати | запановую | запановував
запанувати | запаную | запанував
запанцерувати | запанцерую | запанцерував
запаралелити | запаралелю | запаралелив
запаралелювати | запаралелюю | запаралелював
запарити | запарю | запарив
запаркувати | запаркую | запаркував
запарувати | запарую | запарував
запаршивіти | запаршивію | запаршивів
запарювати | запарюю | запарював
запасати | запасаю | запасав
запаскуджувати | запаскуджую | запаскуджував
запаскудити | запаскуджу | запаскудив
запаскудніти | запаскуднію | запаскуднів
запатентовувати | запатентовую | запатентовував
запатентувати | запатентую | запатентував
запахкати | запахкаю | запахкав
запахнити | запахню | запахнив
запахнути | запахну | запах
запахтіти | запахчу | запахтів
запашіти | запашу | запашів
запащекувати | запащекую | запащекував
запаювати | запаюю | запаював
запаяти | запаяю | запаяв
запевнити | запевню | запевнив
запевнювати | запевнюю | запевнював
запевняти | запевняю | запевняв
запекти | запечу | запік
запеленгувати | запеленгую | запеленгував
запереживати | запереживаю | запереживав
заперезати | запережу | заперезав
заперечити | заперечу | заперечив
заперечувати | заперечую | заперечував
заперізувати | заперізую | заперізував
заперти | запру | запер
запестити | запещу | запестив
запетлювати | запетлюю | запетлював
запечалити | запечалю | запечалив
запечатати | запечатаю | запечатав
запечатувати | запечатую | запечатував
запивати | запиваю | запивав
запилити | запилю | запилив
запильнувати | запильную | запильнував
запилювати | запилюю | запилював
запиляти | запиляю | запиляв
запинати | запинаю | запинав
запирати | запираю | запирав
запирскати | запирскаю | запирскав
запирхати | запирхаю | запирхав
записати | запишу | записав
запискотати | запискочу | запискотав
запискотіти | запискочу | запискотів
записувати | записую | записував
запитати | запитаю | запитав
запити | зап'ю | запив
запитувати | запитую | запитував
запихати | запихаю | запихав
запихкати | запихкаю | запихкав
запищати | запищу | запищав
запиячити | запиячу | запиячив
запідозрити | запідозрю | запідозрив
запідозрювати | запідозрюю | запідозрював
запідпадьомкати | запідпадьомкаю | запідпадьомкав
запідпідьомкати | запідпідьомкаю | запідпідьомкав
запізнавати | запізнаю | запізнавав
запізнати | запізнаю | запізнав
запікати | запікаю | запікав
запінити | запіню | запінив
запінювати | запінюю | запінював
запіскувати | запіскую | запіскував
запістрявіти | запістрявію | запістрявів
запітніти | запітнію | запітнів
заплазувати | заплазую | заплазував
заплакати | заплачу | заплакав
запланувати | запланую | запланував
заплатити | заплачу | заплатив
заплескати | заплескаю | заплескав
заплескотати | заплескочу | заплескотав
заплескотіти | заплескочу | заплескотів
заплескувати | заплескую | заплескував
заплеснути | заплесну | заплеснув
заплести | заплету | заплів
запливати | запливаю | запливав
запливти | запливу | заплив
заплигати | заплигаю | заплигав
заплигнути | заплигну | заплигнув
заплигувати | заплигую | заплигував
заплисти | запливу | заплив
запліднити | заплідню | запліднив
запліднювати | запліднюю | запліднював
запліскувати | запліскую | запліскував
заплісніти | запліснію | запліснів
запліснявіти | запліснявію | запліснявів
заплітати | заплітаю | заплітав
заплішити | заплішу | заплішив
заплішувати | заплішую | заплішував
заплодити | заплоджу | заплодив
заплодоносити | заплодоношу | заплодоносив
запломбовувати | запломбовую | запломбовував
запломбувати | запломбую | запломбував
запломеніти | запломенію | запломенів
заплутати | заплутаю | заплутав
заплутувати | заплутую | заплутував
запльовувати | запльовую | запльовував
заплювати | заплюю | заплював
заплюскати | заплюскаю | заплюскав
заплюскотати | заплюскочу | заплюскотав
заплюскотіти | заплюскочу | заплюскотів
заплюскувати | заплюскую | заплюскував
заплюснути | заплюсну | заплюснув
заплющити | заплющу | заплющив
заплющувати | заплющую | заплющував
заплямити | заплямлю | заплямив
заплямкати | заплямкаю | заплямкав
заплямлювати | заплямлюю | заплямлював
заплямовувати | заплямовую | заплямовував
заплямувати | заплямую | заплямував
запнути | запну | запнув
запобігати | запобігаю | запобігав
запобігти | запобіжу | запобіг
заповажати | заповажаю | заповажав
заповзати | заповзаю | заповзав
заповзти | заповзу | заповз
заповідати | заповідаю | заповідав
заповісти | заповім | заповів
заповнити | заповню | заповнив
заповнювати | заповнюю | заповнював
заповняти | заповняю | заповняв
запоганити | запоганю | запоганив
запоганювати | запоганюю | запоганював
заподіти | заподіну | заподів
заподіювати | заподіюю | заподіював
заподіяти | заподію | заподіяв
заподругувати | заподругую | заподругував
запозвати | запозву | запозвав
запозивати | запозиваю | запозивав
запозичати | запозичаю | запозичав
запозичити | запозичу | запозичив
запозичувати | запозичую | запозичував
заполімеризовувати | заполімеризовую | заполімеризовував
заполімеризувати | заполімеризую | заполімеризував
заполіскувати | заполіскую | заполіскував
заполітизовувати | заполітизовую | заполітизовував
заполітизувати | заполітизую | заполітизував
заполовіти | заполовію | заполовів
заполоменіти | заполоменію | заполоменів
заполонити | заполоню | заполонив
заполонювати | заполонюю | заполонював
заполоняти | заполоняю | заполоняв
заполоскати | заполощу | заполоскав
заполоснути | заполосну | заполоснув
заполуджувати | заполуджую | заполуджував
заполудити | заполуджу | заполудив
заполум'яніти | заполум'янію | заполум'янів
заполювати | заполюю | заполював
запомагати | запомагаю | запомагав
запомогти | запоможу | запоміг
запомповувати | запомповую | запомповував
запопадати | запопадаю | запопадав
запопасти | запопаду | запопав
запороти | запорю | запоров
запорошити | запорошу | запорошив
запорошувати | запорошую | запорошував
запорощити | запорощу | запорощив
запорпати | запорпаю | запорпав
запорядити | запоряджу | запорядив
запорядкувати | запорядкую | запорядкував
запосягати | запосягаю | запосягав
запосягти | запосягну | запосяг
запотівати | запотіваю | запотівав
запотіти | запотію | запотів
запотребувати | запотребую | запотребував
започати | започну | започав
започатковувати | започатковую | започатковував
започаткувати | започаткую | започаткував
започинати | започинаю | започинав
заправити | заправлю | заправив
заправляти | заправляю | заправляв
запрагнути | запрагну | запрагнув
запрагти | запрагну | запраг
запрасовувати | запрасовую | запрасовував
запрасувати | запрасую | запрасував
запрати | заперу | заправ
запрацьовувати | запрацьовую | запрацьовував
запрацювати | запрацюю | запрацював
запрезентувати | запрезентую | запрезентував
запресингувати | запресингую | запресингував
запресовувати | запресовую | запресовував
запресувати | запресую | запресував
заприбутковувати | заприбутковую | заприбутковував
заприбуткувати | заприбуткую | заприбуткував
запримітити | запримічу | запримітив
запримічати | запримічаю | запримічав
запримовляти | запримовляю | запримовляв
заприскати | заприскаю | заприскав
заприсягати | заприсягаю | заприсягав
заприсягнути | заприсягну | заприсягнув
заприсягти | заприсягну | заприсяг
запричастити | запричащу | запричастив
запричащати | запричащаю | запричащав
заприязнити | заприязню | заприязнив
заприятелювати | заприятелюю | заприятелював
запрівати | запріваю | запрівав
запріти | запрію | запрів
запроваджувати | запроваджую | запроваджував
запровадити | запроваджу | запровадив
запрогнозувати | запрогнозую | запрогнозував
запрограмовувати | запрограмовую | запрограмовував
запрограмувати | запрограмую | запрограмував
запрогресувати | запрогресую | запрогресував
запродавати | запродаю | запродавав
запродати | запродам | запродав
запродувати | запродую | запродував
запроменіти | запроменію | запроменів
запропадати | запропадаю | запропадав
запропасти | запропаду | запропав
запропастити | запропащу | запропастив
запропащувати | запропащую | запропащував
запропоновувати | запропоновую | запропоновував
запропонувати | запропоную | запропонував
запросити | запрошу | запросив
запротезувати | запротезую | запротезував
запротестувати | запротестую | запротестував
запротоколювати | запротоколюю | запротоколював
запроторити | запроторю | запроторив
запроторювати | запроторюю | запроторював
запрохати | запрохаю | запрохав
запрохувати | запрохую | запрохував
запрошувати | запрошую | запрошував
запрягати | запрягаю | запрягав
запрягти | запряжу | запріг
запрядати | запрядаю | запрядав
запрясти | запряду | запряв
запсувати | запсую | запсував
запугукати | запугукаю | запугукав
запудрити | запудрю | запудрив
запудрювати | запудрюю | запудрював
запузатіти | запузатію | запузатів
запульсувати | запульсую | запульсував
запускати | запускаю | запускав
запустити | запущу | запустив
запустіти | запустію | запустів
запустувати | запустую | запустував
запухати | запухаю | запухав
запухнути | запухну | запух
запухти | запухну | запух
запушити | запушу | запушив
запушувати | запушую | запушував
запхати | запхаю | запхав
запхикати | запхикаю | запхикав
запхинькати | запхинькаю | запхинькав
запхнути | запхну | запхнув
зап'ясти | запну | зап'яв
зараджувати | зараджую | зараджував
зарадити | зараджу | зарадив
заражати | заражаю | заражав
заражувати | заражую | заражував
заразити | заражу | заразив
заралити | заралю | заралив
заранжувати | заранжую | заранжував
зараховувати | зараховую | зараховував
зарахувати | зарахую | зарахував
зарачкувати | зарачкую | зарачкував
заргументувати | заргументую | заргументував
зареагувати | зареагую | зареагував
заревіти | зареву | заревів
заревти | зареву | заревів
зарегламентувати | зарегламентую | зарегламентував
зареготати | зарегочу | зареготав
зареготіти | зарегочу | зареготів
зарегульовувати | зарегульовую | зарегульовував
зарегулювати | зарегулюю | зарегулював
зареєструвати | зареєструю | зареєстрував
зарезервувати | зарезервую | зарезервував
зарезюмувати | зарезюмую | зарезюмував
зарекламувати | зарекламую | зарекламував
зарекомендовувати | зарекомендовую | зарекомендовував
зарекомендувати | зарекомендую | зарекомендував
заректи | заречу | зарік
заремиґати | заремиґаю | заремиґав
заремствувати | заремствую | заремствував
зарепетувати | зарепетую | зарепетував
заретушовувати | заретушовую | заретушовував
заретушувати | заретушую | заретушував
заржавіти | заржавію | заржавів
заржати | заржу | заржав
зарибалити | зарибалю | зарибалив
зарибити | зариблю | зарибив
зариблювати | зариблюю | зариблював
зарибнити | зарибню | зарибнив
зарибнювати | зарибнюю | зарибнював
заривати | зариваю | заривав
заригати | заригаю | заригав
заридати | заридаю | заридав
заризикувати | заризикую | заризикував
зарикати | зарикаю | зарикав
заримовувати | заримовую | заримовував
заримувати | заримую | заримував
заринати | заринаю | заринав
заринути | зарину | заринув
зарипіти | зариплю | зарипів
зарискувати | зарискую | зарискував
зарисовувати | зарисовую | зарисовував
зарисувати | зарисую | зарисував
зарити | зарию | зарив
зарифити | зарифлю | зарифив
зарифляти | зарифляю | зарифляв
заричати | заричу | заричав
зарівнювати | зарівнюю | зарівнював
зарівняти | зарівняю | зарівняв
зарізати | заріжу | зарізав
зарікати | зарікаю | зарікав
зарнути | зарну | зарнув
заробити | зароблю | заробив
заробляти | заробляю | заробляв
зароджувати | зароджую | зароджував
зародити | зароджу | зародив
зарожевити | зарожевлю | зарожевив
зарожевіти | зарожевію | зарожевів
зарозкошувати | зарозкошую | зарозкошував
зарокотати | зарокочу | зарокотав
зарокотіти | зарокочу | зарокотів
заромантизувати | заромантизую | заромантизував
заронити | зароню | заронив
заросити | зарошу | заросив
заростати | заростаю | заростав
зарости | заросту | заріс
зарохкати | зарохкаю | зарохкав
зарошувати | зарошую | зарошував
зарощувати | зарощую | зарощував
зарубати | зарубаю | зарубав
зарублювати | зарублюю | зарублював
зарубувати | зарубую | зарубував
зарубцювати | зарубцюю | зарубцював
зарумати | зарумаю | зарумав
зарумсати | зарумсаю | зарумсав
зарум'янити | зарум'яню | зарум'янив
зарум'яніти | зарум'янію | зарум'янів
зарум'янювати | зарум'янюю | зарум'янював
зарусявіти | зарусявію | зарусявів
зарухати | зарухаю | зарухав
заручати | заручаю | заручав
заручити | заручу | заручив
зарюмати | зарюмаю | зарюмав
зарюмсати | зарюмсаю | зарюмсав
зарябити | заряблю | зарябив
зарябіти | - | зарябів
заряботіти | - | заряботів
заряджати | заряджаю | заряджав
заряджувати | заряджую | заряджував
зарядити | заряджу | зарядив
зарясніти | заряснію | заряснів
заряснішати | заряснішаю | заряснішав
зарятовувати | зарятовую | зарятовував
зарятувати | зарятую | зарятував
заряхтіти | заряхчу | заряхтів
засаджувати | засаджую | засаджував
засадити | засаджу | засадив
засаднити | засадню | засаднив
засалити | засалю | засалив
засалювати | засалюю | засалював
засалютувати | засалютую | засалютував
засапати | засапаю | засапав
засватати | засватаю | засватав
засвашкувати | засвашкую | засвашкував
засвербіти | засверблю | засвербів
засвердлити | засвердлю | засвердлив
засвердлювати | засвердлюю | засвердлював
засвистати | засвищу | засвистав
засвистіти | засвищу | засвистів
засвистувати | засвистую | засвистував
засвідчити | засвідчу | засвідчив
засвідчувати | засвідчую | засвідчував
засвітати | - | -
засвітити | засвічу | засвітив
засвітліти | засвітлію | засвітлів
засвітлювати | засвітлюю | засвітлював
засвічувати | засвічую | засвічував
засвоїти | засвою | засвоїв
засвоювати | засвоюю | засвоював
засвяткувати | засвяткую | засвяткував
засекретити | засекречу | засекретив
засекречувати | засекречую | засекречував
заселити | заселю | заселив
заселювати | заселюю | заселював
заселяти | заселяю | заселяв
засервірувати | засервірую | засервірував
засивіти | засивію | засивів
засигналити | засигналю | засигналив
засигналізувати | засигналізую | засигналізував
засиджувати | засиджую | засиджував
засидіти | засиджу | засидів
засилати | засилаю | засилав
засилити | засилю | засилив
засилосувати | засилосую | засилосував
засилювати | засилюю | засилював
засиляти | засиляю | засиляв
засимілювати | засимілюю | засимілював
засинати | засинаю | засинав
засинити | засиню | засинив
засиніти | засинію | засинів
засинтезувати | засинтезую | засинтезував
засинювати | засинюю | засинював
засипати | засипаю | засипав
засипляти | засипляю | засипляв
засиротити | засирочу | засиротив
засиротіти | засиротію | засиротів
засисати | засисаю | засисав
засихати | засихаю | засихав
засичати | засичу | засичав
засівати | засіваю | засівав
засідати | засідаю | засідав
засідлати | засідлаю | засідлав
засікати | засікаю | засікав
засікти | засічу | засік
засіпати | засіпаю | засіпав
засірити | засірю | засірив
засіріти | засірію | засірів
засіркувати | засіркую | засіркував
засірювати | засірюю | засірював
засісти | засяду | засів
засіювати | засіюю | засіював
заскабити | заскаблю | заскабив
заскавуліти | заскавулю | заскавулів
заскавучати | заскавучу | заскавучав
заскавчати | заскавчу | заскавчав
заскакати | заскакаю | заскакав
заскакувати | заскакую | заскакував
заскалювати | заскалюю | заскалював
заскандувати | заскандую | заскандував
засканувати | засканую | засканував
